,Time,Amount,Transaction Method,Transaction Id,Location,Type of Card,Bank,Class
0,-9.8039603050914,1.2675336469540461,-1.1567637473509746,-1.7879273428702545,-0.31966965809149034,-0.34700400320350344,-0.12654187306277506,0.0
1,-9.755578120474436,0.9905927484070021,-0.8557740390791887,-1.0786533265740055,-0.5181116487389613,-1.2363836589564434,0.6460981569702925,0.0
2,-9.611263858010844,1.1516745647932694,-1.1717467197894635,-1.7465807806868832,-0.22249376182148112,-0.1792139763777069,0.4511259782348969,0.0
3,33.82367863656529,-6.205793973690231,-2.9001735296943365,-8.305606637353842,0.3424262529659227,-0.23252602147703835,0.3962965521367544,1.0
4,-9.553863448053995,1.108789092876415,-0.8892426764855861,-1.4686453144138472,-0.3304455873995601,-0.5064518760776098,-1.250675646278518,0.0
5,-9.69304503850435,0.9637293837608031,-0.9299806805783376,-1.20805156969919,-0.41123194900542237,-1.0752632440502936,-0.38290928662450924,0.0
6,-9.638650134812355,1.1766114045481006,-1.2739094516942775,-2.261571112550542,-0.1476777922189246,0.7857014609406745,2.6305423406463477,0.0
7,-8.690970545472727,4.67572053810589,-0.2500514828318768,-1.5787580825318963,4.228390698558233,-0.7239974016597774,-1.1635245775842735,0.0
8,-8.993535173518923,1.667672469582516,-1.6606355385358489,-1.0767161696009615,-0.05605097214287086,-0.3254148523344624,-1.0645083432351186,0.0
9,-9.75118925837196,1.0595714379433065,-0.9628042135233008,-1.6683430633807275,-0.46776314895318954,-1.0435913503120247,-0.04526508516039751,0.0
10,-9.470872932133116,1.7854411394035978,-1.9365845281100371,-2.0672614845346096,-0.2661538714554195,-0.13300474453147507,-0.6726265121915264,0.0
11,-9.757339015724378,1.0931080620776803,-1.0742920396077928,-1.220870790614686,-0.5489936274710142,-0.9889947024604607,1.1115853509004348,0.0
12,-9.655721613440996,1.0904821804132208,-1.050953008386014,-1.5201439073811707,-0.4692008700793739,-0.9680012084248569,0.10090428176697051,0.0
13,-9.78365225484624,0.9696092085916059,-0.9301391544270313,-0.863867460066853,-0.5316065535732646,-1.088984365271206,0.8712605082439766,0.0
14,-9.693240577577187,0.9965355204484413,-0.8375922581903021,-0.8471322877000815,-0.5428043974822563,-1.2251007960945266,0.7022666560095264,0.0
15,-9.860013791464993,1.2881616731910592,-1.1046174493347813,-1.8528252189994379,-0.3302421905762095,-0.4116443641957589,-0.20079335961744021,0.0
16,39.06687187027475,7.84222154510992,-22.09549500227338,3.7824394536718033,6.2871918666438615,-0.7257113783694085,-0.4007091013869125,1.0
17,-9.516055407441648,0.8386382331752088,-0.598950265830825,-0.35514880057091647,-0.6480853058469398,-0.7036966466162403,-0.5465364221408753,0.0
18,-9.509620370694615,1.3360983960157669,-1.0817161751551763,-1.6476308464400253,-0.011465980196971265,0.2568291597947169,-0.93898870037637,0.0
19,-9.121122716301338,0.5681785267580677,-0.47524719969340734,2.144521596639428,-0.19847692089561225,0.34012445978299966,2.395729154872307,1.0
20,-9.28082786946051,0.07542386606953616,1.1705298704797673,3.095158737807261,0.3070954917330031,0.41293240711139073,-0.3881534040906585,0.0
21,-8.08459961743705,5.822216606540219,2.8917596506676917,0.41579971001911337,-2.582278470365416,-0.5399843752628803,2.0588592499526652,1.0
22,-9.513224176281575,0.7723943195677894,-0.4637692022780926,-0.3171136413939426,-0.8034792781946628,-0.9184692188321859,-0.20570632415139795,0.0
23,-9.619110007035632,0.9835927280610754,-0.8348368752291132,-1.0579893190619407,-0.49864983926488815,-1.0687202385359618,-0.15388619518206112,0.0
24,-9.781035650959435,1.0822503476112726,-1.0105382999562027,-1.4797144684737527,-0.46429750706911893,-1.3029033089441986,0.7592973801914567,0.0
25,-9.604561247377788,1.0462593489879877,-0.7227622028800381,-1.5215886533194447,-0.7733532463565376,-1.3842462104226803,-0.49471641213435713,0.0
26,-9.739164155536466,1.0784728332465507,-1.0574264937447053,-0.9922605448411527,-0.5293948180538103,-0.4183268697207029,1.835816554456709,0.0
27,-9.808383536432034,1.095410290304151,-1.0541020807373307,-1.2241566645966555,-0.5690011097481664,-1.002157198962233,1.1742760552189735,0.0
28,-9.717998992188557,1.1230415899933586,-0.9313578491667609,-1.2006182978484912,-0.32985963794144835,-0.5959346759407025,-0.2991156961677965,0.0
29,-8.631534966651564,2.7094783318625426,-3.2634258880087343,-1.5905064171076595,0.9260629629977887,4.793177968954526,-0.20427768155977435,0.0
30,-9.439210341229963,0.6644259714005444,-0.46561488768660064,0.9445484711284862,-0.38867009575801675,-1.1820641889792973,0.7090821763937527,0.0
31,-9.853965175342822,1.267615556941611,-1.1185957973236187,-1.737157334076472,-0.2521431414541338,-0.1989200324718566,-0.7022502083841439,0.0
32,-9.25608396569619,1.6204271491469318,-1.7101763578165532,-0.8776071971106032,-0.2370273257689359,-0.6742061367947195,-0.2405089953478059,0.0
33,-9.230479426910856,1.7912772714016483,-2.061218311748511,-2.022184403200291,-0.15742255470279531,1.0330332663462938,1.2820434734048087,0.0
